Name;Link;State;Party
Shelby, Richard C.;https://twitter.com/SenShelby;AL;Republican
Sinema, Kyrsten;https://twitter.com/SenatorSinema;AZ;Democrat
Smith, Tina;https://twitter.com/SenTinaSmith;MN;Democrat
Stabenow, Debbie;https://twitter.com/SenStabenow;MI;Democrat
Sullivan, Dan;https://twitter.com/SenDanSullivan;AK;Republican
Tester, Jon;https://twitter.com/SenatorTester;MT;Democrat
Thune, John;https://twitter.com/SenJohnThune;SD;Republican
Tillis, Thom;https://twitter.com/SenThomTillis;NC;Republican
Toomey, Patrick J.;https://twitter.com/SenToomey;PA;Republican
Tuberville, Tommy;https://twitter.com/SenTuberville;AL;Republican
Van Hollen, Chris;https://twitter.com/ChrisVanHollen;MD;Democrat
Warner, Mark R.;https://twitter.com/MarkWarner;VA;Democrat
Warnock, Raphael G.;https://twitter.com/SenatorWarnock;GA;Democrat
Warren, Elizabeth;https://twitter.com/SenWarren;MA;Democrat
Whitehouse, Sheldon;https://twitter.com/SenWhitehouse;RI;Democrat
Wicker, Roger F.;https://twitter.com/SenatorWicker;MS;Republican
Wyden, Ron;https://twitter.com/RonWyden;OR;Democrat
Young, Todd;https://twitter.com/SenToddYoung;IN;Republican
