Name;Link;State;Party
Wagner, Ann;https://twitter.com/RepAnnWagner;MO;Republican
Walberg, Tim;https://twitter.com/RepWalberg;MI;Republican
Walorski, Jackie;https://twitter.com/RepWalorski;IN;Republican
Waltz, Michael;https://twitter.com/michaelgwaltz;FL;Republican
Wasserman Schultz, Debbie;https://twitter.com/RepDWStweets;FL;Republican
Waters, Maxine;https://twitter.com/RepMaxineWaters;CA;Democrat
Watson Coleman, Bonnie;https://twitter.com/RepBonnie;NJ;Democrat
Weber, Randy;https://twitter.com/TXRandy14;TX;Republican
Webster, Daniel;https://twitter.com/RepWebster;FL;Republican
Welch, Peter;https://twitter.com/PeterWelch;VT;Democrat
Wenstrup, Brad;https://twitter.com/RepBradWenstrup;OH;Republican
Westerman, Bruce;https://twitter.com/RepWesterman;AR;Republican
Wexton, Jennifer;https://twitter.com/RepWexton;VA;Democrat
Wild, Susan;https://twitter.com/RepSusanWild;PA;Democrat
Williams, Nikema;https://twitter.com/RepNikema;GA;Democrat
Williams, Roger;https://twitter.com/RepRWilliams;TX;Republican
Wilson, Frederica;https://twitter.com/RepWilson;FL;Democrat
Wilson, Joe;https://twitter.com/RepJoeWilson;SC;Republican
Wittman, Robert J.;https://twitter.com/RobWittman;VA;Republican
Womack, Steve;https://twitter.com/rep_stevewomack;AR;Republican
Yarmuth, John A.;https://twitter.com/RepJohnYarmuth;KY;Democrat
Zeldin, Lee;https://twitter.com/RepLeeZeldin;NY;Republican
