Name;Link;State;Party
Davis, Rodney;https://twitter.com/RodneyDavis;IL;Republican
Dean, Madeleine;https://twitter.com/RepDean;PA;Democrat
DeFazio, Peter;https://twitter.com/RepPeterDeFazio;OR;Democrat
DeGette, Diana;https://twitter.com/RepDianaDeGette;CO;Democrat
DeLauro, Rosa L.;https://twitter.com/rosadelauro;CT;Democrat
DelBene, Suzan;https://twitter.com/RepDelBene;WA;Democrat
Delgado, Antonio;https://twitter.com/repdelgado;NY;Democrat
Demings, Val;https://twitter.com/RepValDemings;FL;Democrat
DeSaulnier, Mark;https://twitter.com/RepDeSaulnier;CA;Democrat
DesJarlais, Scott;https://twitter.com/DesJarlaisTN04;TN;Republican
Deutch, Ted;https://twitter.com/RepTedDeutch;FL;Democrat
Diaz-Balart, Mario;https://twitter.com/MarioDB;FL;Republican
Dingell, Debbie;https://twitter.com/RepDebDingell;MI;Democrat
Doggett, Lloyd;https://twitter.com/RepLloydDoggett;TX;Democrat
Donalds, Byron;https://twitter.com/RepDonaldsPress;FL;Republican
Doyle, Michael;https://twitter.com/USRepMikeDoyle;PA;Democrat
Duncan, Jeff;https://twitter.com/RepJeffDuncan;SC;Republican
Dunn, Neal;https://twitter.com/DrNealDunnFL2;FL;Republican
Ellzey, Jake;https://twitter.com/RepEllzey;TX;Republican
Emmer, Tom;https://twitter.com/RepTomEmmer;MN;Republican
Escobar, Veronica;https://twitter.com/RepEscobar;TX;Democrat
Eshoo, Anna G.;https://twitter.com/RepAnnaEshoo;CA;Democrat
Espaillat, Adriano;https://twitter.com/RepEspaillat;NY;Democrat
Estes, Ron;https://twitter.com/RepRonEstes;KS;Republican
Evans, Dwight;https://twitter.com/RepDwightEvans;PA;Democrat
Fallon, Pat;https://twitter.com/RepPatFallon;TX;Republican
Feenstra, Randy;https://twitter.com/RepFeenstra;IA;Republican
Ferguson, A. Drew;https://twitter.com/RepDrewFerguson;GA;Republican
Fischbach, Michelle;https://twitter.com/RepFischbach;MN;Republican
Fitzgerald, Scott;https://twitter.com/RepFitzgerald;WI;Republican
Fitzpatrick, Brian;https://twitter.com/RepBrianFitz;PA;Republican
Fleischmann, Chuck;https://twitter.com/RepChuck;TN;Republican
Fletcher, Lizzie;https://twitter.com/RepFletcher;TX;Democrat
Foster, Bill;https://twitter.com/RepBillFoster;IL;Democrat
Foxx, Virginia;https://twitter.com/virginiafoxx;NC;Republican
Frankel, Lois;https://twitter.com/RepLoisFrankel;FL;Democrat
Franklin, C. Scott;https://twitter.com/RepFranklin;FL;Republican
Fulcher, Russ;https://twitter.com/RepRussFulcher;ID;Republican
Gaetz, Matt;https://twitter.com/RepMattGaetz;FL;Republican
Gallagher, Mike;https://twitter.com/RepGallagher;WI;Republican
Gallego, Ruben;https://twitter.com/RepRubenGallego;AZ;Democrat
Garamendi, John;https://twitter.com/RepGaramendi;CA;Democrat
Garbarino, Andrew R.;https://twitter.com/RepGarbarino;NY;Republican
"García, Jesús ""Chuy""";https://twitter.com/RepChuyGarcia;IL;Democrat
